pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment
CH,9/28/2019,86.3,-3.3827,6.0135,Wander Suero,641343,593833,null,ball,,,,,11,null,R,L,R,WSH,CLE,B,null,null,1,0,2019,-1.1011,0.5506,-1.31,2.8838,null,null,null,1,5,Top,null,null,,,543228,,190928_215748,7.1573,-125.5215,-2.3326,-13.0515,25.2579,-26.1156,3.36,1.58,null,null,null,86.26,1948,6.276,565974,593833,543228,475582,452678,543685,607208,665742,467827,594809,54.2235,null,null,null,null,null,null,null,49,2,Changeup,10,6,6,10,6,10,6,10,Infield shift,Standard
FC,9/28/2019,91.5,-3.4998,5.8933,Wander Suero,641343,593833,null,ball,,,,,13,null,R,L,R,WSH,CLE,B,null,null,0,0,2019,0.1184,1.2893,-0.0835,1.1141,null,null,null,1,5,Top,null,null,,,543228,,190928_215731,8.3494,-132.7784,-8.9549,-0.2525,26.4021,-15.2576,3.36,1.58,null,null,null,91.635,2478,6.364,565974,593833,543228,475582,452678,543685,607208,665742,467827,594809,54.1358,null,null,null,null,null,null,null,49,1,Cutter,10,6,6,10,6,10,6,10,Infield shift,Standard
FC,9/27/2019,94.2,-3.4132,5.7798,Wander Suero,641343,593833,strikeout,called_strike,,,,,4,Jake Bauers called out on strikes.  ,R,L,R,WSH,CLE,S,2,null,2,2,2019,0.17,1.2153,-0.4896,2.4924,null,null,null,2,8,Top,null,null,,,435559,,190928_013455,7.2109,-136.9904,-5.551,0.6713,28.0465,-15.8886,3.2577,1.5769,null,null,null,94.427,2587,6.292,565973,593833,435559,571431,435062,543685,607208,665742,467827,594809,54.2071,null,null,0,1,0,0,null,60,5,Cutter,7,2,2,7,2,7,2,7,Infield shift,Standard
CH,9/27/2019,86.6,-3.5021,5.8123,Wander Suero,641343,593833,null,swinging_strike,,,,,13,null,R,L,R,WSH,CLE,S,null,null,2,1,2019,-0.9683,0.4109,-1.0132,1.5126,null,null,null,2,8,Top,null,null,,,435559,,190928_013429,7.9099,-125.9642,-4.9641,-11.7939,22.4009,-27.0733,3.2577,1.5769,null,null,null,87.036,2248,6.311,565973,593833,435559,571431,435062,543685,607208,665742,467827,594809,54.1883,null,null,null,null,null,null,null,60,4,Changeup,7,2,2,7,2,7,2,7,Infield shift,Strategic
CH,9/27/2019,88.8,-3.4802,5.8203,Wander Suero,641343,593833,null,ball,,,,,14,null,R,L,R,WSH,CLE,B,null,null,1,1,2019,-0.9363,0.6586,0.2752,1.0835,null,null,null,2,8,Top,null,null,,,435559,,190928_013410,11.1149,-128.8619,-6.937,-12.5322,23.4948,-23.7099,3.3152,1.5769,null,null,null,89.014,2268,6.301,565973,593833,435559,571431,435062,543685,607208,665742,467827,594809,54.1987,null,null,null,null,null,null,null,60,3,Changeup,7,2,2,7,2,7,2,7,Infield shift,Strategic
FC,9/27/2019,93.3,-3.5534,5.8081,Wander Suero,641343,593833,null,swinging_strike,,,,,5,null,R,L,R,WSH,CLE,S,null,null,1,0,2019,0.2966,1.1011,0.1623,2.5615,null,null,null,2,8,Top,null,null,,,435559,,190928_013350,8.8757,-135.6564,-5.022,1.9412,26.3166,-17.8014,3.3152,1.5769,null,null,null,93.375,2572,6.126,565973,593833,435559,571431,435062,543685,607208,665742,467827,594809,54.3736,null,null,null,null,null,null,null,60,2,Cutter,7,2,2,7,2,7,2,7,Infield shift,Strategic
CU,9/27/2019,79.6,-3.3854,5.9071,Wander Suero,641343,593833,null,ball,,,,,13,null,R,L,R,WSH,CLE,B,null,null,0,0,2019,1.0832,-0.8772,-1.0675,2.2799,null,null,null,2,8,Top,null,null,,,435559,,190928_013334,3.0654,-115.8612,0.4176,9.0005,22.2722,-40.2636,3.344,1.5769,null,null,null,79.004,2873,5.923,565973,593833,435559,571431,435062,543685,607208,665742,467827,594809,54.5764,null,null,null,null,null,null,null,60,1,Curveball,7,2,2,7,2,7,2,7,Infield shift,Strategic
FC,9/27/2019,94.2,-3.3769,5.8103,Wander Suero,475247,593833,field_out,hit_into_play,,,,,8,Ryan Flaherty grounds out to first baseman Matt Adams.  ,R,L,R,WSH,CLE,X,3,ground_ball,3,2,2019,0.2496,0.9619,0.2532,2.1302,null,null,null,1,8,Top,158.58,165.94,,,435559,,190928_013247,8.8309,-136.974,-5.9961,1.4648,25.9866,-19.1338,3.49,1.601,10,91.6,-13,94.242,2468,6.041,565973,593833,435559,571431,435062,543685,607208,665742,467827,594809,54.4586,0.129,0.115,0,1,0,0,2,59,7,Cutter,7,2,2,7,2,7,2,7,Infield shift,Strategic
CH,9/27/2019,90.3,-3.4025,5.8102,Wander Suero,475247,593833,null,ball,,,,,14,null,R,L,R,WSH,CLE,B,null,null,2,2,2019,-1.091,0.5402,0.4149,-0.2552,null,null,null,1,8,Top,null,null,,,435559,,190928_013214,11.8541,-130.7967,-10.3089,-14.991,25.2031,-24.0805,3.4361,1.6069,null,null,null,90.699,2045,6.591,565973,593833,435559,571431,435062,543685,607208,665742,467827,594809,53.9083,null,null,null,null,null,null,null,59,6,Changeup,7,2,2,7,2,7,2,7,Infield shift,Strategic
FC,9/27/2019,95.4,-3.317,5.7468,Wander Suero,475247,593833,null,foul,,,,,8,null,R,L,R,WSH,CLE,S,null,null,2,2,2019,0.1403,0.8357,-0.0613,1.8643,null,null,null,1,8,Top,null,null,,,435559,,190928_013142,8.2667,-138.7058,-6.5124,0.1267,28.575,-20.1285,3.49,1.601,null,null,null,95.951,2570,6.476,565973,593833,435559,571431,435062,543685,607208,665742,467827,594809,54.0239,null,null,null,null,null,null,null,59,5,Cutter,7,2,2,7,2,7,2,7,Infield shift,Strategic
