pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment
SI,9/24/2019,88.8,3.0079,3.7837,Adam Kolarek,543333,592473,null,foul,,,,,6,null,R,L,L,SD,LAD,S,null,null,1,0,2019,1.3764,-0.2925,0.7438,2.7732,null,605361,592518,2,5,Bot,null,null,,,669257,,190925_035642,-8.3575,-128.9103,4.2061,16.9884,27.5525,-36.5353,3.7,1.76,null,null,null,88.26,2251,6.147,566353,592473,669257,571970,666158,457759,608369,572041,641355,592626,54.3523,null,null,null,null,null,null,null,47,2,Sinker,3,5,3,5,5,3,3,5,Strategic,Strategic
SI,9/24/2019,88.7,2.8053,3.6001,Adam Kolarek,543333,592473,null,ball,,,,,14,null,R,L,L,SD,LAD,B,null,null,0,0,2019,1.5272,-0.3895,0.4944,0.9118,null,605361,592518,2,5,Bot,null,null,,,669257,,190925_035613,-8.8078,-128.8063,0.358,18.8036,28.5223,-36.7859,3.799,1.7111,null,null,null,88.216,2287,6.251,566353,592473,669257,571970,666158,457759,608369,572041,641355,592626,54.2488,null,null,null,null,null,null,null,47,1,Sinker,3,5,3,5,5,3,3,5,Strategic,Strategic
SI,9/21/2019,88.4,2.9151,3.5731,Adam Kolarek,435622,592473,field_out,hit_into_play,,,,,9,"Ian Desmond grounds out, third baseman Chris Taylor to first baseman Cody Bellinger.  ",R,R,L,LAD,COL,X,5,ground_ball,0,0,2019,1.2722,-0.5721,0.3432,2.089,null,null,null,2,9,Top,104.87,169.32,,,431145,,190922_040350,-8.8221,-128.3734,3.5792,15.6648,24.0691,-39.3541,3.4073,1.57,10,96.8,-10.6,88.161,2137,6.042,565878,592473,431145,641355,666158,621035,608369,572041,571771,592626,54.4574,0.205,0.177,0,1,0,0,2,67,1,Sinker,2,4,4,2,4,2,4,2,Standard,Strategic
SI,9/17/2019,89.6,2.7859,3.5773,Adam Kolarek,595281,592473,strikeout,swinging_strike,,,,,14,Kevin Kiermaier strikes out swinging.  ,R,L,L,LAD,TB,S,2,null,0,2,2019,1.3397,-0.5307,1.092,1.6239,null,null,null,1,7,Top,null,null,,,669257,,190918_044434,-6.9731,-130.2316,2.2894,16.6208,27.2984,-38.8812,3.38,1.58,null,null,null,89.345,2189,6.191,565875,592473,669257,571970,666158,621035,608369,572041,641355,571771,54.3082,null,null,0,1,0,0,null,48,3,Sinker,2,2,2,2,2,2,2,2,Standard,Strategic
SI,9/17/2019,88.6,2.9874,3.6658,Adam Kolarek,595281,592473,null,foul,,,,,14,null,R,L,L,LAD,TB,S,null,null,0,1,2019,1.4173,-0.3026,0.8343,1.6253,null,null,null,1,7,Top,null,null,,,669257,,190918_044355,-8.1312,-128.7537,1.6538,17.2361,24.275,-36.0471,3.38,1.58,3,74.5,-27.9,88.429,2149,6.051,565875,592473,669257,571970,666158,621035,608369,572041,641355,571771,54.4482,null,null,null,null,null,null,null,48,2,Sinker,2,2,2,2,2,2,2,2,Standard,Strategic
SI,9/17/2019,88.7,2.7069,3.594,Adam Kolarek,595281,592473,null,foul,,,,,14,null,R,L,L,LAD,TB,S,null,null,0,0,2019,1.338,-0.3834,0.1168,1.3143,null,null,null,1,7,Top,null,null,,,669257,,190918_044324,-9.1422,-128.8554,1.2809,16.8025,25.5055,-36.9249,3.38,1.58,null,null,null,88.94,2118,6.425,565875,592473,669257,571970,666158,621035,608369,572041,641355,571771,54.0749,null,null,null,null,null,null,null,48,1,Sinker,2,2,2,2,2,2,2,2,Standard,Strategic
SI,9/15/2019,87.8,2.964,3.5767,Adam Kolarek,624424,592473,field_out,hit_into_play,,,,,6,"Michael Conforto grounds out, shortstop Corey Seager to first baseman Max Muncy.  ",R,L,L,NYM,LAD,X,6,ground_ball,0,1,2019,1.3335,-0.4022,0.2835,2.2505,null,null,null,0,9,Bot,110.83,153.75,,,669257,,190916_020933,-9.2604,-127.5846,3.7262,16.4472,24.5128,-37.5115,3.1815,1.5477,6,96,-18.6,88.126,2218,6.422,566063,592473,669257,571970,666158,576397,608369,621035,641355,571771,54.0773,0.166,0.16,0,1,0,0,2,68,2,Sinker,2,3,2,3,3,2,2,3,Standard,Standard
SI,9/15/2019,88.8,2.8028,3.7032,Adam Kolarek,624424,592473,null,foul,,,,,8,null,R,L,L,NYM,LAD,S,null,null,0,0,2019,1.5245,-0.2848,0.138,1.6621,null,null,null,0,9,Bot,null,null,,,669257,,190916_020902,-9.6885,-128.9381,1.6409,18.9541,25.3921,-35.8867,3.2333,1.5987,5,70.1,-20.2,88.84,2191,6.315,566063,592473,669257,571970,666158,576397,608369,621035,641355,571771,54.1844,null,null,null,null,null,null,null,68,1,Sinker,2,3,2,3,3,2,2,3,Standard,Standard
SL,9/14/2019,76.4,2.5599,4.0494,Adam Kolarek,429664,592473,strikeout,swinging_strike,,,,,14,Robinson Cano strikes out swinging.  ,R,L,L,NYM,LAD,S,2,null,1,2,2019,-0.4921,0.4161,0.1358,1.4707,null,null,null,0,8,Bot,null,null,,,431145,,190915_011707,-4.2008,-111.0953,0.845,-3.2878,19.3725,-29.1536,3.675,1.7264,null,null,null,75.905,1786,5.908,566062,592473,431145,571970,666158,607461,608369,572041,641355,592626,54.591,null,null,0,1,0,0,null,52,4,Slider,0,0,0,0,0,0,0,0,Standard,Standard
SI,9/14/2019,88.1,2.8226,3.6137,Adam Kolarek,429664,592473,null,ball,,,,,14,null,R,L,L,NYM,LAD,B,null,null,0,2,2019,1.389,-0.4723,2.1,1.9653,null,null,null,0,8,Bot,null,null,,,431145,,190915_011642,-4.6023,-128.1737,3.0405,16.1598,25.6251,-38.1815,3.675,1.752,null,null,null,87.986,2067,6.155,566062,592473,431145,571970,666158,607461,608369,572041,641355,592626,54.3443,null,null,null,null,null,null,null,52,3,Sinker,0,0,0,0,0,0,0,0,Standard,Standard
