pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment
CU,9/25/2019,70.5,-1.0936,6.2333,Zack Greinke,543592,425844,null,swinging_strike,,,,,3,null,R,R,R,SEA,HOU,S,null,null,0,0,2019,1.2375,-0.5315,0.7688,3.0576,null,null,null,1,9,Bot,null,null,,,455139,,190926_043052,1.6255,-102.2779,2.2784,7.9376,17.7934,-36.408,3.3962,1.63,null,null,null,68.366,2442,4.86,566448,425844,455139,493329,514888,647351,608324,663656,545350,543807,55.6393,null,null,null,null,null,null,null,62,1,Curveball,0,3,0,3,3,0,0,3,Standard,Standard
CH,9/25/2019,87.9,-1.2135,6.2281,Zack Greinke,608596,425844,field_out,hit_into_play,,,,,6,"Tom Murphy grounds out sharply, second baseman Jose Altuve to first baseman Yuli Gurriel.  ",R,R,R,SEA,HOU,X,4,ground_ball,2,2,2019,-0.917,0.3221,0.418,2.8147,null,null,null,0,9,Bot,116.87,146.62,,,455139,,190926_043019,5.795,-127.9454,-2.8775,-11.0915,23.2588,-28.3296,3.36,1.63,18,101.5,-8,87.904,2028,6.011,566448,425844,455139,493329,514888,647351,608324,663656,545350,543807,54.489,0.268,0.249,0,1,0,0,2,61,5,Changeup,0,3,0,3,3,0,0,3,Infield shift,Standard
FF,9/25/2019,90.2,-0.9707,6.3995,Zack Greinke,608596,425844,null,foul,,,,,5,null,R,R,R,SEA,HOU,S,null,null,2,1,2019,-0.1828,1.4881,0.163,2.6006,null,null,null,0,9,Bot,null,null,,,455139,,190926_042949,3.1606,-131.2242,-6.5342,-2.7015,26.1016,-14.2303,3.438,1.63,192,71.5,27.1,89.433,2415,5.694,566448,425844,455139,493329,514888,647351,608324,663656,545350,543807,54.8052,null,null,null,null,null,null,null,61,4,4-Seam Fastball,0,3,0,3,3,0,0,3,Infield shift,Standard
CH,9/25/2019,86.5,-1.2259,6.2373,Zack Greinke,608596,425844,null,foul_tip,,,,,8,null,R,R,R,SEA,HOU,S,null,null,2,0,2019,-1.0312,0.3136,-0.158,1.7681,null,null,null,0,9,Bot,null,null,,,455139,,190926_042927,4.5986,-125.8468,-5.1114,-11.7607,22.9941,-28.1264,3.36,1.63,null,null,null,86.457,1740,6.05,566448,425844,455139,493329,514888,647351,608324,663656,545350,543807,54.4496,null,null,null,null,null,null,null,61,3,Changeup,0,3,0,3,3,0,0,3,Infield shift,Standard
CH,9/25/2019,87,-1.1951,6.2504,Zack Greinke,608596,425844,null,ball,,,,,13,null,R,R,R,SEA,HOU,B,null,null,1,0,2019,-1.1496,0.3925,-0.6156,0.6618,null,null,null,0,9,Bot,null,null,,,455139,,190926_042902,3.6687,-126.3684,-7.9471,-12.8712,24.7522,-26.6976,3.3991,1.63,null,null,null,86.349,1803,5.887,566448,425844,455139,493329,514888,647351,608324,663656,545350,543807,54.6124,null,null,null,null,null,null,null,61,2,Changeup,0,3,0,3,3,0,0,3,Infield shift,Standard
CU,9/25/2019,70.7,-1.0385,6.2633,Zack Greinke,608596,425844,null,ball,,,,,12,null,R,R,R,SEA,HOU,B,null,null,0,0,2019,0.8906,-0.8281,0.3791,3.6277,null,null,null,0,9,Bot,null,null,,,455139,,190926_042844,1.3127,-102.5454,3.734,5.7867,17.418,-38.6818,3.3449,1.63,null,null,null,68.929,2324,5.115,566448,425844,455139,493329,514888,647351,608324,663656,545350,543807,55.3846,null,null,null,null,null,null,null,61,1,Curveball,0,3,0,3,3,0,0,3,Infield shift,Standard
CH,9/25/2019,87.6,-1.3414,6.2039,Zack Greinke,596129,425844,field_out,hit_into_play,,,,,4,"Daniel Vogelbach grounds out, shortstop Alex Bregman to first baseman Yuli Gurriel.  ",R,L,R,SEA,HOU,X,6,ground_ball,0,0,2019,-1.1179,0.3525,-0.6156,2.1725,null,null,null,2,8,Bot,142.72,155.75,,,455139,,190926_041559,3.9846,-127.4825,-4.3293,-12.8113,24.3613,-27.7691,3.36,1.63,5,82.4,-23.5,87.201,1974,5.874,566448,425844,455139,493329,514888,647351,608324,663656,545350,543807,54.6251,0.068,0.067,0,1,0,0,2,56,1,Changeup,0,2,0,2,2,0,0,2,Infield shift,Standard
CU,9/25/2019,71.1,-1.0705,6.2124,Zack Greinke,553882,425844,field_out,hit_into_play,,,,,4,Omar Narvaez lines out to pitcher Zack Greinke.  ,R,L,R,SEA,HOU,X,1,line_drive,2,1,2019,1.2902,-0.8448,-0.5286,2.5566,null,null,null,1,8,Bot,128.53,182.62,,,455139,,190926_041513,-0.968,-103.3451,1.6955,8.987,17.3672,-38.5226,3.328,1.56,106,94.5,6.9,69.395,2462,5.014,566448,425844,455139,493329,514888,647351,608324,663656,545350,543807,55.4853,0.571,0.53,0,1,0,0,4,55,4,Curveball,0,2,0,2,2,0,0,2,Infield shift,Standard
FF,9/25/2019,91.2,-1.2807,6.3441,Zack Greinke,553882,425844,null,ball,,,,,11,null,R,L,R,SEA,HOU,B,null,null,1,1,2019,-0.1865,1.5391,-1.3608,2.8033,null,null,null,1,8,Bot,null,null,,,455139,,190926_041453,0.1888,-132.6035,-6.202,-2.2033,27.1194,-13.2785,3.4077,1.56,null,null,null,90.466,2367,5.788,566448,425844,455139,493329,514888,647351,608324,663656,545350,543807,54.7116,null,null,null,null,null,null,null,55,3,4-Seam Fastball,0,2,0,2,2,0,0,2,Infield shift,Standard
CH,9/25/2019,88.3,-1.625,6.1497,Zack Greinke,553882,425844,null,ball,,,,,13,null,R,L,R,SEA,HOU,B,null,null,0,1,2019,-1.1483,0.1003,-0.8147,-0.0611,null,null,null,1,8,Bot,null,null,,,455139,,190926_041434,4.2962,-128.3578,-9.2009,-13.4219,24.9894,-29.503,3.4235,1.56,null,null,null,87.934,1981,5.983,566448,425844,455139,493329,514888,647351,608324,663656,545350,543807,54.5161,null,null,null,null,null,null,null,55,2,Changeup,0,2,0,2,2,0,0,2,Infield shift,Standard
