pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment
CH,9/27/2019,76.3,2.5038,4.7854,Alex Claudio,656541,592222,null,called_strike,,,,,5,null,R,L,L,COL,MIL,S,null,null,1,0,2019,1.7511,0.1285,0.0746,2.6467,596115,502517,null,1,6,Bot,null,null,,,518735,,190928_021044,-8.016,-110.7457,2.2529,15.3968,18.2716,-31.7506,3.3494,1.4974,null,null,null,75.283,2216,5.515,565491,592222,518735,519346,669374,605486,606115,592325,456715,663757,54.9841,null,null,null,null,null,null,null,52,2,Changeup,3,2,3,2,2,3,3,2,Strategic,Standard
SI,9/27/2019,85.8,2.595,4.6252,Alex Claudio,656541,592222,null,ball,,,,,14,null,R,L,L,COL,MIL,B,null,null,0,0,2019,1.4406,-0.1794,0.1301,1.224,596115,502517,null,1,6,Bot,null,null,,,518735,,190928_021014,-8.4258,-124.5959,-1.489,16.0223,21.0067,-33.9703,3.51,1.6636,null,null,null,84.554,1972,5.234,565491,592222,518735,519346,669374,605486,606115,592325,456715,663757,55.2658,null,null,null,null,null,null,null,52,1,Sinker,3,2,3,2,2,3,3,2,Strategic,Standard
SI,9/27/2019,85.8,2.6885,4.6576,Alex Claudio,641857,592222,field_out,hit_into_play,,,,,8,"Ryan McMahon grounds out, second baseman Keston Hiura to first baseman Eric Thames.   Trevor Story to 3rd.    Daniel Murphy to 2nd.  ",R,L,L,COL,MIL,X,4,ground_ball,0,0,2019,1.3505,-0.3633,0.0374,1.8411,null,596115,502517,0,6,Bot,144.45,160.32,,,518735,,190928_020934,-8.6147,-124.478,0.2196,15.0092,21.3376,-36.0951,3.4938,1.64,3,78.3,-30.8,84.052,2118,4.985,565491,592222,518735,519346,669374,605486,606115,592325,456715,663757,55.5142,0.063,0.059,0,1,0,0,2,51,1,Sinker,3,2,3,2,2,3,3,2,Standard,Standard
SI,9/27/2019,85.1,2.5689,4.5845,Alex Claudio,502517,592222,single,hit_into_play_score,,,,,9,Daniel Murphy singles on a ground ball to center fielder Lorenzo Cain.   Nolan Arenado scores.    Trevor Story to 2nd.  ,R,L,L,COL,MIL,X,8,ground_ball,1,1,2019,1.4754,-0.3648,0.2844,1.6178,null,571448,596115,0,6,Bot,128.09,94.91,,,518735,,190928_020841,-8.0345,-123.6497,-0.0499,16.1048,20.1393,-36.0426,3.2561,1.6,40,99.4,0.6,84.117,1980,5.322,565491,592222,518735,519346,669374,605486,606115,592325,456715,663757,55.1776,0.49,0.46,0.9,1,1,0,4,50,3,Sinker,2,2,2,2,2,2,2,2,Infield shift,Standard
CH,9/27/2019,74.1,2.7098,4.6998,Alex Claudio,502517,592222,null,ball,,,,,13,null,R,L,L,COL,MIL,B,null,null,0,1,2019,1.5506,0.0698,-1.5388,0.9993,null,571448,596115,0,6,Bot,null,null,,,518735,,190928_020814,-11.3091,-107.3175,-0.4068,13.8218,17.3141,-31.7731,3.267,1.6504,null,null,null,73.9,1971,6.25,565491,592222,518735,519346,669374,605486,606115,592325,456715,663757,54.2499,null,null,null,null,null,null,null,50,2,Changeup,2,2,2,2,2,2,2,2,Infield shift,Standard
SL,9/27/2019,75.8,2.8931,4.7613,Alex Claudio,502517,592222,null,foul,,,,,9,null,R,L,L,COL,MIL,S,null,null,0,0,2019,-0.4317,0.1897,0.4758,1.8317,null,571448,596115,0,6,Bot,null,null,,,518735,,190928_020748,-4.2205,-110.1705,0.5828,-2.6945,18.2501,-31.0356,3.3683,1.6978,null,null,null,74.431,2266,5.189,565491,592222,518735,519346,669374,605486,606115,592325,456715,663757,55.3109,null,null,null,null,null,null,null,50,1,Slider,2,2,2,2,2,2,2,2,Infield shift,Standard
SL,9/25/2019,null,null,null,Alex Claudio,642165,592222,field_out,hit_into_play,,,,,null,Josh VanMeter pops out to third baseman Travis Shaw.  ,R,L,L,CIN,MIL,X,5,popup,1,1,2019,null,null,null,null,null,null,null,2,7,Bot,108.34,171.83,,,518735,,190926_010932,null,null,null,null,null,null,3.33,1.61,null,80,69,null,null,null,565299,592222,518735,519346,669374,543768,605486,592325,456715,663757,null,0,0,0,1,0,0,3,66,3,Slider,2,9,2,9,9,2,2,9,Infield shift,Standard
SL,9/25/2019,null,null,null,Alex Claudio,642165,592222,null,foul,,,,,null,null,R,L,L,CIN,MIL,S,null,null,1,0,2019,null,null,null,null,null,null,null,2,7,Bot,null,null,,,518735,,190926_010907,null,null,null,null,null,null,3.33,1.61,null,null,null,null,null,null,565299,592222,518735,519346,669374,543768,605486,592325,456715,663757,null,null,null,null,null,null,null,null,66,2,Slider,2,9,2,9,9,2,2,9,Infield shift,Standard
SL,9/25/2019,null,null,null,Alex Claudio,642165,592222,null,ball,,,,,null,null,R,L,L,CIN,MIL,B,null,null,0,0,2019,null,null,null,null,null,null,null,2,7,Bot,null,null,,,518735,,190926_010850,null,null,null,null,null,null,3.33,1.61,null,null,null,null,null,null,565299,592222,518735,519346,669374,543768,605486,592325,456715,663757,null,null,null,null,null,null,null,null,66,1,Slider,2,9,2,9,9,2,2,9,Infield shift,Standard
SL,9/25/2019,null,null,null,Alex Claudio,547179,592222,field_out,hit_into_play,,,,,null,"Michael Lorenzen grounds out, pitcher Alex Claudio to first baseman Eric Thames.  ",R,R,L,CIN,MIL,X,1,ground_ball,0,0,2019,null,null,null,null,null,null,null,1,7,Bot,120.45,176.67,,,518735,,190926_010810,null,null,null,null,null,null,3.49,1.601,null,82.9,-20.7,null,null,null,565299,592222,518735,519346,669374,543768,605486,592325,456715,663757,null,0.066,0.06,0,1,0,0,2,65,1,Slider,2,9,2,9,9,2,2,9,Standard,Standard
