pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment
FF,9/28/2019,87.6,-1.9518,5.6489,Yusmeiro Petit,572122,433589,null,ball,,,,,11,null,R,L,R,SEA,OAK,B,null,null,0,0,2019,-0.3978,1.4904,-1.3823,3.0459,null,null,null,2,6,Bot,null,null,,,669221,,190929_024759,2.2403,-127.6838,-3.3556,-4.8882,25.8638,-15.0648,3.3938,1.6986,null,null,null,88.732,2073,6.866,566451,433589,669221,621566,641914,656305,543760,640461,592192,657656,53.6333,null,null,null,null,null,null,null,46,1,4-Seam Fastball,0,1,0,1,1,0,0,1,Infield shift,Standard
CU,9/28/2019,75.8,-0.4836,5.8494,Yusmeiro Petit,543592,433589,field_out,hit_into_play,,,,,9,Austin Nola flies out to center fielder Mark Canha.  ,R,R,R,SEA,OAK,X,8,fly_ball,0,2,2019,0.8676,-0.0049,0.67,1.6859,null,null,null,1,6,Bot,138.23,87.23,,,669221,,190929_024728,0.8698,-110.5059,-1.6901,6.9852,17.9928,-32.1402,3.29,1.7131,267,83.3,42.2,76.151,2027,6.249,566451,433589,669221,621566,641914,656305,543760,640461,592192,657656,54.2505,0.005,0.006,0,1,0,0,3,45,3,Curveball,0,1,0,1,1,0,0,1,Strategic,Standard
FF,9/28/2019,89.1,-0.5133,5.6981,Yusmeiro Petit,543592,433589,null,foul,,,,,3,null,R,R,R,SEA,OAK,S,null,null,0,1,2019,-0.7545,1.5213,0.39,2.9767,null,null,null,1,6,Bot,null,null,,,669221,,190929_024645,3.8752,-129.853,-3.9853,-9.4819,26.1873,-14.0117,3.47,1.64,null,null,null,90.248,2160,6.825,566451,433589,669221,621566,641914,656305,543760,640461,592192,657656,53.6746,null,null,null,null,null,null,null,45,2,4-Seam Fastball,0,1,0,1,1,0,0,1,Standard,Standard
FC,9/28/2019,85.7,-0.5084,5.6983,Yusmeiro Petit,543592,433589,null,swinging_strike,,,,,9,null,R,R,R,SEA,OAK,S,null,null,0,0,2019,-0.419,1.5339,0.3123,1.9152,null,null,null,1,6,Bot,null,null,,,669221,,190929_024628,2.843,-124.851,-5.9332,-5.0434,24.8497,-14.781,3.47,1.64,null,null,null,86.887,2137,6.954,566451,433589,669221,621566,641914,656305,543760,640461,592192,657656,53.5451,null,null,null,null,null,null,null,45,1,Cutter,0,1,0,1,1,0,0,1,Standard,Standard
FF,9/28/2019,88.6,-2.1435,5.5846,Yusmeiro Petit,641487,433589,field_out,hit_into_play,,,,,9,J.P. Crawford flies out sharply to center fielder Mark Canha.  ,R,L,R,SEA,OAK,X,8,fly_ball,3,1,2019,-0.8264,1.4077,0.303,1.7818,null,null,null,0,6,Bot,117.19,35.21,,,669221,,190929_024552,7.8181,-128.8834,-6.3196,-10.9399,24.868,-15.0642,3.42,1.57,386,100.7,23.5,89.794,2230,6.881,566451,433589,669221,621566,641914,656305,543760,640461,592192,657656,53.6188,0.653,1.023,0,1,0,0,6,44,5,4-Seam Fastball,0,1,0,1,1,0,0,1,Infield shift,Standard
CH,9/28/2019,81,-2.1426,5.6817,Yusmeiro Petit,641487,433589,null,ball,,,,,11,null,R,L,R,SEA,OAK,B,null,null,2,1,2019,-0.7747,1.1192,-1.0159,2.6619,null,null,null,0,6,Bot,null,null,,,669221,,190929_024525,4.0556,-118.0391,-2.411,-8.0818,18.9593,-21.2159,3.4978,1.5435,null,null,null,82.334,1882,6.757,566451,433589,669221,621566,641914,656305,543760,640461,592192,657656,53.7423,null,null,null,null,null,null,null,44,4,Changeup,0,1,0,1,1,0,0,1,Infield shift,Standard
FF,9/28/2019,88,-2.1936,5.5991,Yusmeiro Petit,641487,433589,null,called_strike,,,,,8,null,R,L,R,SEA,OAK,S,null,null,2,0,2019,-0.989,1.3792,-0.1738,1.6904,null,null,null,0,6,Bot,null,null,,,669221,,190929_024507,7.0458,-127.9745,-6.3408,-12.4716,25.7924,-15.6714,3.4644,1.6134,null,null,null,88.835,2237,6.79,566451,433589,669221,621566,641914,656305,543760,640461,592192,657656,53.7099,null,null,null,null,null,null,null,44,3,4-Seam Fastball,0,1,0,1,1,0,0,1,Infield shift,Standard
CH,9/28/2019,79.9,-2.3055,5.7414,Yusmeiro Petit,641487,433589,null,ball,,,,,11,null,R,L,R,SEA,OAK,B,null,null,1,0,2019,-0.9608,1.04,-1.5177,3.2317,null,null,null,0,6,Bot,null,null,,,669221,,190929_024450,3.5875,-116.5273,-0.8666,-9.4999,19.9978,-22.593,3.3933,1.4768,null,null,null,80.816,1894,6.599,566451,433589,669221,621566,641914,656305,543760,640461,592192,657656,53.9006,null,null,null,null,null,null,null,44,2,Changeup,0,1,0,1,1,0,0,1,Infield shift,Standard
FF,9/28/2019,88.3,-2.0949,5.6746,Yusmeiro Petit,641487,433589,null,ball,,,,,14,null,R,L,R,SEA,OAK,B,null,null,0,0,2019,-0.7224,1.4076,0.363,1.2133,null,null,null,0,6,Bot,null,null,,,669221,,190929_024433,7.6093,-128.3736,-7.8625,-9.7053,25.828,-14.8413,3.5623,1.6128,null,null,null,89.41,2257,6.96,566451,433589,669221,621566,641914,656305,543760,640461,592192,657656,53.5391,null,null,null,null,null,null,null,44,1,4-Seam Fastball,0,1,0,1,1,0,0,1,Infield shift,Standard
FF,9/25/2019,88.6,-1.9836,5.7432,Yusmeiro Petit,592230,433589,double,hit_into_play_score,,,,,8,Kaleb Cowart doubles (3) on a line drive to right fielder Ramon Laureano.   Michael Hermosillo scores.  ,R,L,R,LAA,OAK,X,9,line_drive,3,1,2019,-0.3704,1.4568,0.144,1.4975,641684,null,621493,1,7,Bot,208.19,126.11,,,669221,,190926_044806,6.0129,-128.7363,-7.3933,-5.4296,27.2508,-14.4612,3.49,1.61,198,90.6,13.5,89.009,2182,6.669,564810,433589,669221,621566,620439,656305,543760,664913,640461,657656,53.8307,0.953,0.882,1.25,1,1,1,4,58,5,4-Seam Fastball,1,1,1,1,1,1,1,1,Strategic,Standard
